EELSMODEL report file
Wed 6. Feb 10:40:48 2008
FILENAME of HL spectrum:C:/EELSMODELoriginal/Examples/fittertest/uncorrelated_1e3.dm3
NAME of HL spectrum:C:/EELSMODELoriginal/Examples/fittertest/uncorrelated_1e3.dm3 [199]
Detector used:ideal detector
Detector gain:1.00000000e+000
Detector correlation factor:1.00000000e+000

List of components and their parameters
FITTER settings were

FITTERTYPE:Levenberg Marquardt
FRACTION:1.00000000e-003
MAXSTEP:1.00000000e+099
MINSTEP:1.00000000e-099
TOLERANCE:1.00000000e-010
USEGRADIENTS:1
Lorentz: Emax	free/locked	sigma 	Lorentz: FWHM	free/locked	sigma 	Lorentz: Height	free/locked	sigma 	Line: A	free/locked	sigma 	Line: B	free/locked	sigma 	goodness_of_fit	LRtestconfidence	
1.27045391e+002	free	3.97617823e-002	9.90253268e+000	free	1.07836750e-001	3.23108823e+003	free	3.00027361e+001	8.11566099e+002	free	2.09647393e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.081312e+000	The model is accepted at a confidence level of: 17.915181 percent
1.26957972e+002	free	3.97333874e-002	9.97826418e+000	free	1.07753261e-001	3.24830961e+003	free	2.99280424e+001	8.07024670e+002	free	2.09393753e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.005189e+000	The model is accepted at a confidence level of: 46.500401 percent
1.26942006e+002	free	4.09640157e-002	1.02395955e+001	free	1.11427442e-001	3.16233720e+003	free	2.92397485e+001	8.04986244e+002	free	2.09907288e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.836526e-001	The model is accepted at a confidence level of: 56.149732 percent
1.27035755e+002	free	3.98665036e-002	1.00623499e+001	free	1.08154688e-001	3.24975884e+003	free	2.97962497e+001	8.04407401e+002	free	2.09374653e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.098714e+000	The model is accepted at a confidence level of: 13.500672 percent
1.26912453e+002	free	4.02035751e-002	9.97467778e+000	free	1.09129725e-001	3.19154806e+003	free	2.97382467e+001	8.07558644e+002	free	2.09340184e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.012794e+000	The model is accepted at a confidence level of: 43.145435 percent
1.27022205e+002	free	3.97865428e-002	9.94340139e+000	free	1.07887162e-001	3.23126297e+003	free	2.99114031e+001	8.04941655e+002	free	2.08983779e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.885812e-001	The model is accepted at a confidence level of: 53.940584 percent
1.27021550e+002	free	3.95300514e-002	9.91682977e+000	free	1.07144197e-001	3.25897125e+003	free	3.00606726e+001	8.07751156e+002	free	2.09284390e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.091629e+000	The model is accepted at a confidence level of: 15.193315 percent
1.26990201e+002	free	3.99629568e-002	1.00492822e+001	free	1.08433216e-001	3.23502242e+003	free	2.97650055e+001	8.04505788e+002	free	2.09312558e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.274363e-001	The model is accepted at a confidence level of: 97.887535 percent
1.26936871e+002	free	3.94908980e-002	9.88543618e+000	free	1.07024710e-001	3.25693510e+003	free	3.01049463e+001	8.08585728e+002	free	2.09271149e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.025392e+000	The model is accepted at a confidence level of: 37.741098 percent
1.26952751e+002	free	3.96331384e-002	9.87877891e+000	free	1.07440930e-001	3.23841261e+003	free	3.00528643e+001	8.09100381e+002	free	2.09276227e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.452215e-001	The model is accepted at a confidence level of: 96.454068 percent
1.26975482e+002	free	3.99892942e-002	9.94431863e+000	free	1.08497756e-001	3.21052874e+003	free	2.98533117e+001	8.08326232e+002	free	2.09362074e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.062193e+000	The model is accepted at a confidence level of: 23.770676 percent
1.26905659e+002	free	3.96374816e-002	9.93937419e+000	free	1.07459953e-001	3.25032784e+003	free	2.99922958e+001	8.06797668e+002	free	2.09231823e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.183971e+000	The model is accepted at a confidence level of: 2.386498 percent
1.26960832e+002	free	3.95699946e-002	9.92496772e+000	free	1.07253477e-001	3.25410545e+003	free	3.00227415e+001	8.05846413e+002	free	2.09071518e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.454288e-001	The model is accepted at a confidence level of: 72.382169 percent
1.26988543e+002	free	3.95421103e-002	9.84504910e+000	free	1.07151370e-001	3.23857990e+003	free	3.00925806e+001	8.06473995e+002	free	2.08836730e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.129247e+000	The model is accepted at a confidence level of: 7.751139 percent
1.26996851e+002	free	3.99252638e-002	9.99665879e+000	free	1.08328853e-001	3.23124173e+003	free	2.98492793e+001	8.08747911e+002	free	2.09637697e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.128940e+000	The model is accepted at a confidence level of: 7.797424 percent
1.27084635e+002	free	3.98899919e-002	9.96644509e+000	free	1.08216046e-001	3.22813616e+003	free	2.98831892e+001	8.08674301e+002	free	2.09515794e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.030852e+000	The model is accepted at a confidence level of: 35.478260 percent
1.27007105e+002	free	3.93825543e-002	9.90319900e+000	free	1.06705968e-001	3.27320071e+003	free	3.01278131e+001	8.07120063e+002	free	2.09185223e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.010563e+000	The model is accepted at a confidence level of: 44.123797 percent
1.26926553e+002	free	3.99188872e-002	9.95872601e+000	free	1.08292365e-001	3.22166559e+003	free	2.98671016e+001	8.07564654e+002	free	2.09340801e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.454604e-001	The model is accepted at a confidence level of: 72.369859 percent
1.27032551e+002	free	4.01418512e-002	9.98897925e+000	free	1.08946119e-001	3.20080736e+003	free	2.97427069e+001	8.06117909e+002	free	2.09232014e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.826652e-001	The model is accepted at a confidence level of: 91.027208 percent
1.27030619e+002	free	3.97184315e-002	9.88789608e+000	free	1.07699492e-001	3.23156980e+003	free	3.00210557e+001	8.10376017e+002	free	2.09451430e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.593046e-001	The model is accepted at a confidence level of: 94.845441 percent
1.27030577e+002	free	4.00998580e-002	1.00594926e+001	free	1.08847254e-001	3.22302636e+003	free	2.97174804e+001	8.06492192e+002	free	2.09569400e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.545109e-001	The model is accepted at a confidence level of: 68.749160 percent
1.27009075e+002	free	3.95172636e-002	9.84529959e+000	free	1.07097705e-001	3.24540563e+003	free	3.01328942e+001	8.10125597e+002	free	2.09295516e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.509512e-001	The model is accepted at a confidence level of: 70.194911 percent
1.26933556e+002	free	4.01563138e-002	1.00075417e+001	free	1.09005405e-001	3.20568926e+003	free	2.97420514e+001	8.08260415e+002	free	2.09568785e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.204552e+000	The model is accepted at a confidence level of: 1.443948 percent
1.26973396e+002	free	3.97225981e-002	9.98892220e+000	free	1.07720317e-001	3.25129880e+003	free	2.99183876e+001	8.06128486e+002	free	2.09327573e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.792798e-001	The model is accepted at a confidence level of: 91.678908 percent
1.27057923e+002	free	4.04346793e-002	1.01681130e+001	free	1.09845844e-001	3.20588339e+003	free	2.94861428e+001	8.03510181e+002	free	2.09556662e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.001190e+000	The model is accepted at a confidence level of: 48.283159 percent
1.27093295e+002	free	4.04255033e-002	1.01120369e+001	free	1.09821143e-001	3.19764468e+003	free	2.95563384e+001	8.07317729e+002	free	2.09808706e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.008017e+000	The model is accepted at a confidence level of: 45.246457 percent
1.26981556e+002	free	3.98021184e-002	9.91598488e+000	free	1.07945965e-001	3.22696929e+003	free	2.99567462e+001	8.09099952e+002	free	2.09386776e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.019864e-001	The model is accepted at a confidence level of: 86.615553 percent
1.26947791e+002	free	3.97157265e-002	9.96247437e+000	free	1.07696886e-001	3.24663937e+003	free	2.99459207e+001	8.07036649e+002	free	2.09336096e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.039592e+000	The model is accepted at a confidence level of: 31.978758 percent
1.26972822e+002	free	4.03816208e-002	1.00855123e+001	free	1.09666582e-001	3.19317303e+003	free	2.95641869e+001	8.03972488e+002	free	2.09296369e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.001850e+000	The model is accepted at a confidence level of: 47.988000 percent
1.26985782e+002	free	3.98696885e-002	9.94993653e+000	free	1.08155866e-001	3.22742967e+003	free	2.99091784e+001	8.09492053e+002	free	2.09555748e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.906568e-001	The model is accepted at a confidence level of: 89.347414 percent
1.26929461e+002	free	4.02087846e-002	1.00219958e+001	free	1.09166216e-001	3.20344565e+003	free	2.97153262e+001	8.08796662e+002	free	2.09681286e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.595376e-001	The model is accepted at a confidence level of: 66.664284 percent
1.27030513e+002	free	3.89338381e-002	9.75349345e+000	free	1.05364638e-001	3.29453730e+003	free	3.04429744e+001	8.09534741e+002	free	2.08987656e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.775063e-001	The model is accepted at a confidence level of: 58.887504 percent
1.26992395e+002	free	4.01370451e-002	1.00578267e+001	free	1.08948394e-001	3.21680020e+003	free	2.96921382e+001	8.05136419e+002	free	2.09385731e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.072182e+000	The model is accepted at a confidence level of: 20.580659 percent
1.27015251e+002	free	4.02556989e-002	9.99496553e+000	free	1.09287646e-001	3.19005106e+003	free	2.97021627e+001	8.07391645e+002	free	2.09388734e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.812571e-001	The model is accepted at a confidence level of: 57.219653 percent
1.26966630e+002	free	3.99435173e-002	9.96830396e+000	free	1.08384746e-001	3.22441698e+003	free	2.98777623e+001	8.10915872e+002	free	2.09788920e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.418803e-001	The model is accepted at a confidence level of: 73.749115 percent
1.26973299e+002	free	3.97598341e-002	9.92432038e+000	free	1.07828176e-001	3.23475183e+003	free	2.99742259e+001	8.09730817e+002	free	2.09507684e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.040879e+000	The model is accepted at a confidence level of: 31.477526 percent
1.26986095e+002	free	4.00534500e-002	9.99326823e+000	free	1.08690321e-001	3.21263427e+003	free	2.97787841e+001	8.06385368e+002	free	2.09302076e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.626555e-001	The model is accepted at a confidence level of: 65.347922 percent
1.27002456e+002	free	3.95171465e-002	9.95519400e+000	free	1.07108036e-001	3.26799047e+003	free	3.00253235e+001	8.05820511e+002	free	2.09201285e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.760002e-001	The model is accepted at a confidence level of: 59.554066 percent
1.27005333e+002	free	3.97885570e-002	9.97642515e+000	free	1.07917335e-001	3.24180621e+003	free	2.99111812e+001	8.07670380e+002	free	2.09454031e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.033876e+000	The model is accepted at a confidence level of: 34.249366 percent
1.27033438e+002	free	3.99743237e-002	1.00224290e+001	free	1.08467336e-001	3.22899705e+003	free	2.97918612e+001	8.06264164e+002	free	2.09421287e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.832169e-001	The model is accepted at a confidence level of: 90.917670 percent
1.27045745e+002	free	4.00949660e-002	1.00452242e+001	free	1.08820658e-001	3.21868705e+003	free	2.97166231e+001	8.05001520e+002	free	2.09328125e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.381275e-001	The model is accepted at a confidence level of: 75.159692 percent
1.26948014e+002	free	4.08017184e-002	1.03004091e+001	free	1.10957184e-001	3.19230531e+003	free	2.92443173e+001	8.02216178e+002	free	2.09841079e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.262916e-001	The model is accepted at a confidence level of: 79.353161 percent
1.26898206e+002	free	4.09380460e-002	1.02601865e+001	free	1.11353160e-001	3.16910810e+003	free	2.92296505e+001	8.04051041e+002	free	2.09878620e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.933729e-001	The model is accepted at a confidence level of: 51.788116 percent
1.27026036e+002	free	4.08728662e-002	1.01955937e+001	free	1.11155969e-001	3.16459665e+003	free	2.93190486e+001	8.06881568e+002	free	2.09988159e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.042482e+000	The model is accepted at a confidence level of: 30.858395 percent
1.26954103e+002	free	3.98042263e-002	9.96471150e+000	free	1.07957045e-001	3.23657465e+003	free	2.99083025e+001	8.07188179e+002	free	2.09343808e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.028713e+000	The model is accepted at a confidence level of: 36.358161 percent
1.26954054e+002	free	3.92232928e-002	9.84389778e+000	free	1.06226426e-001	3.27895330e+003	free	3.02408859e+001	8.07722292e+002	free	2.09058942e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.090829e+000	The model is accepted at a confidence level of: 15.393483 percent
1.26927011e+002	free	4.03274562e-002	1.00205135e+001	free	1.09521046e-001	3.19064125e+003	free	2.96800373e+001	8.10345925e+002	free	2.09841097e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.873747e-001	The model is accepted at a confidence level of: 54.482112 percent
1.26929744e+002	free	3.96227300e-002	9.88738847e+000	free	1.07405927e-001	3.24037026e+003	free	3.00402596e+001	8.07712488e+002	free	2.09140977e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.078292e+000	The model is accepted at a confidence level of: 18.770264 percent
1.27028949e+002	free	4.04361886e-002	1.00759612e+001	free	1.09852224e-001	3.19007232e+003	free	2.95925593e+001	8.09469947e+002	free	2.09929568e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.269863e-001	The model is accepted at a confidence level of: 97.916461 percent
1.27012100e+002	free	3.98769065e-002	1.00533782e+001	free	1.08186628e-001	3.24717236e+003	free	2.98043038e+001	8.05229024e+002	free	2.09438564e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.056550e+000	The model is accepted at a confidence level of: 25.695956 percent
1.26984990e+002	free	4.00462151e-002	1.00105823e+001	free	1.08683006e-001	3.21929374e+003	free	2.97837001e+001	8.08005902e+002	free	2.09574027e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.891563e-001	The model is accepted at a confidence level of: 53.682358 percent
1.27010289e+002	free	3.96837023e-002	9.89688494e+000	free	1.07604961e-001	3.23881487e+003	free	3.00365169e+001	8.11199276e+002	free	2.09596958e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.804069e-001	The model is accepted at a confidence level of: 57.598587 percent
1.27000849e+002	free	3.98979266e-002	9.90375014e+000	free	1.08221549e-001	3.21233523e+003	free	2.99234143e+001	8.08959392e+002	free	2.09299208e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 7.345329e-001	The model is accepted at a confidence level of: 99.944964 percent
1.26935269e+002	free	3.94548595e-002	9.83311660e+000	free	1.06907530e-001	3.24921112e+003	free	3.01609389e+001	8.09292529e+002	free	2.09157818e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.045403e+000	The model is accepted at a confidence level of: 29.745776 percent
1.27044283e+002	free	4.01883988e-002	1.01047838e+001	free	1.09126864e-001	3.22444274e+003	free	2.96614176e+001	8.07692471e+002	free	2.09879752e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.881279e-001	The model is accepted at a confidence level of: 89.900770 percent
1.26990608e+002	free	4.03814649e-002	9.98566821e+000	free	1.09671288e-001	3.17667496e+003	free	2.96855975e+001	8.10953677e+002	free	2.09765643e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.034025e+000	The model is accepted at a confidence level of: 34.189403 percent
1.27033032e+002	free	3.99311607e-002	1.00024806e+001	free	1.08323250e-001	3.22712285e+003	free	2.98046875e+001	8.04029249e+002	free	2.09073486e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.040710e+000	The model is accepted at a confidence level of: 31.542952 percent
1.26985272e+002	free	3.97812811e-002	9.87001080e+000	free	1.07873619e-001	3.21881145e+003	free	2.99998537e+001	8.09576349e+002	free	2.09267105e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.051431e+000	The model is accepted at a confidence level of: 27.516259 percent
1.27056743e+002	free	4.01531169e-002	1.00113557e+001	free	1.08983964e-001	3.20440464e+003	free	2.97202829e+001	8.05723069e+002	free	2.09269632e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.047420e+000	The model is accepted at a confidence level of: 28.989775 percent
1.26925057e+002	free	3.98326276e-002	1.00348038e+001	free	1.08044827e-001	3.24679134e+003	free	2.98247233e+001	8.03974636e+002	free	2.09218231e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.635976e-001	The model is accepted at a confidence level of: 64.946991 percent
